"ORIGEM";"DESTINO"
00103;"M0103"
00104;"M0104"
00110;"M0110"
00111;"M0111"
00156;"M0156"
00204;"M0204"
00254;"M0254"
00256;"M0256"
00257;"M0257"
00258;"M0258"
00259;"M0259"
00260;"M0260"
00261;"M0261"
00262;"M0262"
00263;"M0263"
00266;"M0266"
00268;"M0268"
00269;"M0269"
00304;"M0304"
00357;"M0357"
00417;"M0417"
00455;"M0455"
00456;"M0456"
00458;"M0458"
00460;"M0460"
00461;"M0461"
00543;"M0543"
00613;"M0613"
00617;"M0617"
00619;"M0619"
00620;"M0620"
00640;"M0640"
00643;"M0643"
00644;"M0644"
00646;"M0646"
00648;"M0648"
00665;"M0665"
00680;"M0680"
00681;"M0681"
00684;"M0684"
00687;"M0687"
00692;"M0692"
00706;"M0706"
00717;"M0717"
00725;"M0725"
00861;"M0861"
00982;"M0982"
"0101R";"M101R"
01101;"M1101"
"0110G";"M110G"
"0110J";"M110J"
"0110S";"M110S"
"0110U";"M110U"
01110;"M1110"
"0111G";"M111G"
01556;"M1556"
"0156B";"M156B"
"0156E";"M156E"
"0156J";"M156J"
"0156L";"M156L"
"0156M";"M156M"
"0156R";"M156R"
"0156S";"M156S"
"0156U";"M156U"
"0156X";"M156X"
02156;"M2156"
"0223L";"M223L"
"0223X";"M223X"
02254;"M2254"
02256;"M2256"
02257;"M2257"
"0226R";"M226R"
"0228R";"M228R"
"0254E";"M254E"
"0254F";"M254F"
"0254J";"M254J"
"0254U";"M254U"
"0254X";"M254X"
02556;"M2556"
"0256H";"M256H"
"0256R";"M256R"
"0256U";"M256U"
"0257H";"M257H"
"0257J";"M257J"
"0257L";"M257L"
"0257R";"M257R"
"0258H";"M258H"
"0258M";"M258M"
"0258U";"M258U"
"0259H";"M259H"
"0259J";"M259J"
"0259R";"M259R"
"0259S";"M259S"
"0259U";"M259U"
"0261H";"M261H"
"0263H";"M263H"
"0266H";"M266H"
"0268H";"M268H"
"0304J";"M304J"
03860;"M3860"
03866;"M3866"
"0386F";"M386F"
04139;"M4139"
04141;"M4141"
04143;"M4143"
04144;"M4144"
04148;"M4148"
04149;"M4149"
04151;"M4151"
04177;"M4177"
"0417E";"M417E"
"0417I";"M417I"
"0417J";"M417J"
"0417L";"M417L"
"0417M";"M417M"
"0417R";"M417R"
"0417S";"M417S"
"0417U";"M417U"
"0420H";"M420H"
"0420R";"M420R"
04247;"M4247"
04282;"M4282"
04283;"M4283"
04284;"M4284"
04286;"M4286"
04309;"M4309"
04310;"M4310"
04311;"M4311"
04312;"M4312"
04313;"M4313"
04314;"M4314"
"0435E";"M435E"
"0457H";"M457H"
"0458R";"M458R"
"0491X";"M491X"
05120;"M5120"
05156;"M5156"
05200;"M5200"
05331;"M5331"
"0543B";"M543B"
05536;"M5536"
05647;"M5647"
05651;"M5651"
05731;"M5731"
05735;"M5735"
05738;"M5738"
05739;"M5739"
05740;"M5740"
05741;"M5741"
05742;"M5742"
05743;"M5743"
05745;"M5745"
05746;"M5746"
05747;"M5747"
05748;"M5748"
06025;"M6025"
06027;"M6027"
06030;"M6030"
06160;"M6160"
06162;"M6162"
"0617B";"M617B"
"0617L";"M617L"
"0619B";"M619B"
"0619R";"M619R"
"0620H";"M620H"
"0620I";"M620I"
"0620J";"M620J"
"0620L";"M620L"
"0620M";"M620M"
"0620R";"M620R"
"0620S";"M620S"
"0620U";"M620U"
"0640A";"M640A"
"0640B";"M640B"
"0640H";"M640H"
"0640L";"M640L"
"0643B";"M643B"
"0643L";"M643L"
"0644H";"M644H"
"0644R";"M644R"
"0646H";"M646H"
"0648L";"M648L"
"0648R";"M648R"
"0665U";"M665U"
"0678A";"M678A"
"0678H";"M678H"
"0678L";"M678L"
"0679A";"M679A"
"0679H";"M679H"
"0679L";"M679L"
"0680A";"M680A"
"0680H";"M680H"
"0681L";"M681L"
"0684H";"M684H"
"0687U";"M687U"
"0691L";"M691L"
"0693B";"M693B"
"0693L";"M693L"
"0693U";"M693U"
"0695L";"M695L"
"0696H";"M696H"
"0697H";"M697H"
"0699B";"M699B"
"0706B";"M706B"
"0717B";"M717B"
"0717E";"M717E"
"0717M";"M717M"
"0717R";"M717R"
"0717U";"M717U"
"0725L";"M725L"
"0725U";"M725U"
"0743L";"M743L"
"0747L";"M747L"
"110AC";"N10AC"
"110BF";"N10BF"
"1558H";"N558H"
"156AC";"N56AC"
"156BB";"N56BB"
"156SC";"N56SC"
"2156J";"P156J"
"2156R";"P156R"
"256AC";"P56AC"
"257AC";"N57AC"
"258AC";"N58AC"
"259AC";"N59AC"
"259LA";"N59LA"
"319RD";"N19RD"
"386RD";"N86RD"
"417AC";"N17AC"
"417LL";"N17LL"
"417RD";"N17RD"
"4216H";"N216H"
"4244H";"N244H"
"5120B";"N120B"
"5156D";"N156D"
"5156E";"P156E"
"5156H";"N156H"
"5156J";"Q156J"
"5156L";"P156L"
"5156M";"P156M"
"5156R";"Q156R"
"5156U";"P156U"
"520RD";"N20RD"
"5331A";"N331A"
"5331B";"N331B"
"5331C";"N331C"
"5331D";"N331D"
"5331E";"N331E"
"5331F";"N331F"
"5331G";"N331G"
"5617B";"P617B"
"6027G";"N027G"
"6027I";"N027I"
"6027L";"N027L"
"6027S";"N027S"
"617DF";"N17DF"
"619DF";"N19DF"
"620DF";"N20DF"
"6977B";"N977B"
"717JA";"N17JA"
"717JC";"N17JC"
"717JD";"N17JD"
"717JE";"N17JE"
"717JF";"N17JF"
"717JJ";"N17JJ"
